date,close,high,low,open,volume,price_change,price_pct_change
2024-11-25,97279.7890625,98935.03125,90770.8125,98033.4453125,419153048682,-753.65625,-0.7687746233926384
2024-12-02,101236.015625,103900.46875,91998.78125,97276.0078125,549005393438,3960.0078125,4.0708987771506155
2024-12-09,104298.6953125,105047.5390625,94321.2578125,101237.0625,521429282524,3061.6328125,3.0242213048210482
2024-12-16,95104.9375,108268.4453125,92175.1796875,104293.578125,551244500231,-9188.640625,-8.810360896801383
2024-12-23,93530.2265625,99884.5703125,92403.1328125,95099.390625,299272588112,-1569.1640625,-1.650025359981112
2024-12-30,98314.9609375,98956.9140625,91317.1328125,93527.1953125,248821817930,4787.765625,5.1191160057807386
2025-01-06,94488.4375,102712.484375,91220.84375,98314.953125,338967010865,-3826.515625,-3.8920993230143495
2025-01-13,101089.609375,106299.796875,89260.1015625,94488.890625,437782936416,6600.71875,6.9857088027378875
2025-01-20,102682.5,109114.8828125,99471.359375,101083.75,471816874719,1598.75,1.5816093091124934
2025-01-27,97688.9765625,106418.765625,96216.078125,102680.3046875,362117614322,-4991.328125,-4.861037508790749
2025-02-03,96500.09375,102514.171875,91242.890625,97681.1015625,388753129798,-1181.0078125,-1.2090443224008354
2025-02-10,96175.03125,98819.46875,94101.203125,96499.4609375,230337481014,-324.4296875,-0.33619844540906196
2025-02-17,96273.921875,99497.96875,93388.8359375,96179.0078125,210283176728,94.9140625,0.09868480103790839
2025-02-24,94248.3515625,96503.453125,78248.9140625,96277.9609375,424642208809,-2029.609375,-2.1080726629820767
2025-03-03,80601.0390625,94429.75,80052.484375,94248.421875,351467410238,-13647.3828125,-14.480224221260999
2025-03-10,82579.6875,85263.2890625,76624.25,80597.1484375,245099235090,1982.5390625,2.4598129101768196
2025-03-17,86054.375,87443.265625,81179.9921875,82576.3359375,154637791297,3478.0390625,4.211907713043169
2025-03-24,82334.5234375,88758.7265625,81573.25,86070.9296875,181637739548,-3736.40625,-4.341078066155285
2025-03-31,78214.484375,88466.953125,77097.7421875,82336.0625,237449686690,-4121.578125,-5.005799402904408
2025-04-07,83684.9765625,86015.1875,74436.6796875,78221.3359375,363220466107,5463.640625,6.984846985182572
2025-04-14,85174.3046875,86429.3515625,83100.6171875,83694.5234375,155677486406,1479.78125,1.7680741692794826
2025-04-21,93754.84375,95768.390625,85143.8359375,85171.5390625,247116398033,8583.3046875,10.077667706816309
2025-04-28,94315.9765625,97905.8984375,92860.8046875,93755.3046875,179785916926,560.671875,0.5980161622521526
